Run,BSH enzyme,Inhibitor,Replicate,Sample ID,TUDCA,TCDCA,TDCA,TCA,TLCA,GUDCA,GCDCA,GDCA,GCA,GLCA
Run 2,B,XV,SD,B-XV-2,0.0108444747836552,0.0252344651881773,0.00284870145855967,0.00800629960302094,0.00372181407380863,0.00322377108368445,0.0134141803079179,0.992357116381665,0.15172853071632,0.000948700866097071
Run 2,B,XV,CV (%),B-XV-3,29.2093951795345,107.213419578717,50.4194948417641,50.0915512180665,36.9227586687364,28.655742966084,53.8649992286893,64.2912656922429,18.0572595158248,78.8394071548815
Run 5,B,XVI,Average,B-XVI-1,0.349197666666667,0.109567333333333,0.103433333333333,0.0697526666666667,0.036042,0.0227406666666667,0.109937666666667,0.686763333333333,1.403548,0.0262486666666667
Run 5,B,XVI,SD,B-XVI-2,0.13606660985096,0.0333889897471207,0.0120838666962746,0.0335687273266851,0.00710957614770388,0.00656017578524641,0.0214527793148891,0.0612446893724944,0.123320966615576,0.00541915771438084
Run 5,B,XVI,CV (%),B-XVI-3,38.9654980085663,30.4734894346132,11.6827586493148,48.1253677183454,19.7258091884576,28.8477725011568,19.5135843476962,8.91787409138924,8.78637329222627,20.6454589987333
Run 5,B,XVII,Average,B-XVII-1,0.366402666666667,0.112404333333333,0.0736053333333333,0.0454873333333333,0.0507396666666667,6.22274766666667,0.0863413333333333,0.509561,0.919041,0.0278646666666667
Run 5,B,XVII,SD,B-XVII-2,0.167424726508163,0.038357921402669,0.0223611315083413,0.00707019521182643,0.010828644713598,10.6545659271292,0.0357272605349659,0.0713139973427377,0.147522661916737,0.00763731905404857
Run 5,B,XVII,CV (%),B-XVII-3,45.6941888636626,34.1249489812099,30.3797707254112,15.543217625038,21.3415763740361,171.219636370641,41.379092904479,13.9951835683535,16.0518042085975,27.4086144485797
Run 5,B,XVIII,Average,B-XVIII-1,0.312946666666667,0.11531,0.0994636666666667,0.050469,0.0549586666666667,0.178099,0.0919596666666667,0.621371333333333,1.06798133333333,0.0411116666666667
Run 5,B,XVIII,SD,B-XVIII-2,0.0300774070081404,0.0257003529353198,0.0214464664766328,0.0139599713824922,0.00755530147203494,0.193454338728807,0.013407310182633,0.0239900480269076,0.0865062981194626,0.00127637233334687
Run 5,B,XVIII,CV (%),B-XVIII-3,9.61103287295185,22.2880521510015,21.5621112667267,27.6604873932358,13.7472430287639,108.621799520945,14.579555003425,3.86082310849674,8.09998222061274,3.10464750479637
Run 6,B,XIX,Average,B-XIX-1,0.178922666666667,0.0563486666666667,0.0365473333333333,0.060168,0.0190636666666667,0.706763666666667,0.1857,8.17072633333333,11.9462016666667,0.01315
